Full Weapon Name,Weapon Augment,Weapon Base,Weapon Name,AmmoConfig,GeneralAmmoType,AmmoType,AmmoTypes,Size,Price,BaseWeaponPrice,AmmoTypePrice,Damage,Drop Range,Muzzle Velocity,Vertical Recoil,Rate of Fire,Cycle Time,Spread,Sway,Reload Speed,Loaded,Extra,Note
1865 Carbine,Base,Carbine,Carbine,SingleBulletType,Medium,Default,Medium / Default,Large Slot,70,70,0,145,115,340,4,22,1.8,23,77,8.5,8,21,
1865 Carbine Aperture,Aperture,Carbine,Carbine Aperture,SingleBulletType,Medium,Default,Medium / Default,Large Slot,74,74,0,145,120,340,4,22,1.8,23,77,8.5,8,21,
1865 Carbine Aperture FMJ,Aperture,Carbine,,SingleBulletType,Medium,FMJ,Medium / FMJ,Large Slot,124,74,50,145,110,272,7,22,1.8,23,77,8.5,8,21,Damage dropoff begins at 40m
1865 Carbine Aperture Subsonic,Aperture,Carbine,,SingleBulletType,Medium,Subsonic,Medium / Subsonic,Large Slot,84,74,10,145,95,242,4,22,1.8,23,77,8.5,8,25,Reduced Sound
1865 Carbine FMJ,Base,Carbine,,SingleBulletType,Medium,FMJ,Medium / FMJ,Large Slot,120,70,50,145,105,272,7,22,1.8,23,77,8.5,8,21,Damage dropoff begins at 40m
1865 Carbine Silencer,Silencer,Carbine,Carbine Silencer,SingleBulletType,Medium,Default,Medium / Default,Large Slot,80,80,0,137,105,289,4,22,1.8,23,77,8.5,8,21,
1865 Carbine Silencer FMJ,Silencer,Carbine,,SingleBulletType,Medium,FMJ,Medium / FMJ,Large Slot,130,80,50,137,90,218,7,22,1.8,23,77,8.5,8,21,Damage dropoff begins at 40m
1865 Carbine Silencer Subsonic,Silencer,Carbine,,SingleBulletType,Medium,Subsonic,Medium / Subsonic,Large Slot,90,80,10,137,95,229,4,22,1.8,23,77,8.5,8,25,Reduced Sound
1865 Carbine Subsonic,Base,Carbine,,SingleBulletType,Medium,Subsonic,Medium / Subsonic,Large Slot,80,70,10,145,95,242,4,22,1.8,23,77,8.5,8,25,Reduced Sound
Auto-4 Shorty,Base,Auto 4,Auto 4,SingleShellType,Shells,Default,Shells / Default,Medium Slot,300,300,0,154,20,350,25,24,0.6,57,147,9.7,4,5,
Auto-4 Shorty Flechette,Base,Auto 4,,SingleShellType,Shells,Flechette,Shells / Flechette,Medium Slot,340,300,40,113,20,350,25,24,0.6,35,147,9.7,4,5,Causes Medium Bleeding
Auto-4 Shorty Penny Shot,Base,Auto 4,,SingleShellType,Shells,Penny Shot,Shells / Penny Shot,Medium Slot,310,300,10,107,20,350,25,24,0.6,125,147,9.7,4,7,
Auto-4 Shorty Slug,Base,Auto 4,,SingleShellType,Shells,Slug,Shells / Slug,Medium Slot,430,300,130,167,20,350,25,24,0.6,160,147,9.7,4,3,
Auto-5,Base,Auto,Auto 5,SingleShellType,Shells,Default,Shells / Default,Large Slot,600,600,0,194,30,425,20,24,0.6,35,133,10.7,5,6,
Auto-5 Flechette,Base,Auto,,SingleShellType,Shells,Flechette,Shells / Flechette,Large Slot,640,600,40,135,30,425,20,24,0.6,25,133,10.7,5,6,Causes Medium Bleeding
Auto-5 Penny Shot,Base,Auto,,SingleShellType,Shells,Penny Shot,Shells / Penny Shot,Large Slot,610,600,10,147,30,425,20,24,0.6,100,133,10.7,5,9,
Auto-5 Slug,Base,Auto,,SingleShellType,Shells,Slug,Shells / Slug,Large Slot,730,600,130,179,30,425,20,24,0.6,95,133,10.7,5,4,
Berthier 1892,Base,Berthier,Berthier,TwoBulletType,Long,Default,Long / Default,Large Slot,330,330,0,133,120,590,12,27,1.7,42.5,77,2.7,3,9,
Berthier 1892 Deadeye,Deadeye,Berthier,Berthier Deadeye,TwoBulletType,Long,Default,Long / Default,Large Slot,347,347,0,133,120,590,12,27,1.7,52.5,69,2.7,3,9,
Berthier 1892 Deadeye Incendiary,Deadeye,Berthier,,TwoBulletType,Long,Incendiary,Long / Incendiary,Large Slot,382,347,35,133,120,590,12,27,1.7,52.5,69,2.7,3,9,Ignites Hunters in one shot up to 40m
Berthier 1892 Deadeye Spitzer,Deadeye,Berthier,,TwoBulletType,Long,Spitzer,Long / Spitzer,Large Slot,422,347,75,113,140,780,16,27,1.7,52.5,69,2.7,3,6,
Berthier 1892 Incendiary,Base,Berthier,,TwoBulletType,Long,Incendiary,Long / Incendiary,Large Slot,365,330,35,133,120,590,12,27,1.7,42.5,77,2.7,3,9,Ignites Hunters in one shot up to 40m
Berthier 1892 Marksman,Marksman,Berthier,Berthier Marksman,TwoBulletType,Long,Default,Long / Default,Large Slot,363,363,0,133,120,590,12,27,1.7,62.5,69,2.7,3,9,
Berthier 1892 Marksman Incendiary,Marksman,Berthier,,TwoBulletType,Long,Incendiary,Long / Incendiary,Large Slot,398,363,35,133,120,590,12,27,1.7,62.5,69,2.7,3,9,Ignites Hunters in one shot up to 40m
Berthier 1892 Marksman Spitzer,Marksman,Berthier,,TwoBulletType,Long,Spitzer,Long / Spitzer,Large Slot,438,363,75,113,140,780,16,27,1.7,62.5,69,2.7,3,6,
Berthier 1892 Riposte,Riposte,Berthier,Berthier Riposte,TwoBulletType,Long,Default,Long / Default,Large Slot,340,340,0,133,120,590,12,27,1.7,42.5,77,2.7,3,9,
Berthier 1892 Riposte Incendiary,Riposte,Berthier,,TwoBulletType,Long,Incendiary,Long / Incendiary,Large Slot,375,340,35,133,120,590,12,27,1.7,42.5,77,2.7,3,9,Ignites Hunters in one shot up to 40m
Berthier 1892 Riposte Spitzer,Riposte,Berthier,,TwoBulletType,Long,Spitzer,Long / Spitzer,Large Slot,415,340,75,113,140,780,16,27,1.7,42.5,77,2.7,3,6,
Berthier 1892 Spitzer,Base,Berthier,,TwoBulletType,Long,Spitzer,Long / Spitzer,Large Slot,405,330,75,113,140,780,16,27,1.7,42.5,77,2.7,3,6,
Bomb Lance,Base,BombLance,BombLance,TwoSpecialType,Special,Default,Special / Default,Large Slot,199,199,0,150,5,60,0,9,7.3,37.5,0,6.9,1,3,
Bomb Lance Dragon Breath,Base,BombLance,,TwoSpecialType,Special,Dragon Breath,Special / Dragon Breath,Large Slot,209,199,10,58,5,100,0,9,7.3,32.5,0,6.9,1,3,Causes Medium Burning
Bomb Lance Harpoon,Base,BombLance,,TwoSpecialType,Special,Harpoon,Special / Harpoon,Large Slot,204,199,5,260,5,80,0,9,7.3,37.9,0,6.9,1,6,"Causes Intense Bleeding, Can be recovered and reused"
Bomb Lance Steel Ball,Base,BombLance,,TwoSpecialType,Special,Steel Ball,Special / Steel Ball,Large Slot,204,199,5,239,5,450,0,9,7.3,62.5,0,6.9,1,4,
Bomb Lance Waxed Frag,Base,BombLance,,TwoSpecialType,Special,Waxed Frag,Special / Waxed Frag,Large Slot,249,199,50,126,5,60,0,9,7.3,37.5,0,6.9,1,4,Causes Intense Bleeding
Bomb Launcher,Base,BombLauncher,BombLauncher,TwoSpecialType,Special,Default,Special / Default,Medium Slot,110,110,0,150,5,60,0,13,5.3,25,0,5.1,1,3,
Bomb Launcher Dragon Breath,Base,BombLauncher,,TwoSpecialType,Special,Dragon Breath,Special / Dragon Breath,Medium Slot,120,110,10,58,5,100,0,13,5.3,32.5,0,5.1,1,3,Causes Medium Burning
Bomb Launcher Harpoon,Base,BombLauncher,,TwoSpecialType,Special,Harpoon,Special / Harpoon,Medium Slot,115,110,5,260,5,80,0,13,5.3,9,0,5.1,1,6,"Causes Intense Bleeding, Can be recovered and reused"
Bomb Launcher Steel Ball,Base,BombLauncher,,TwoSpecialType,Special,Steel Ball,Special / Steel Ball,Medium Slot,115,110,5,239,5,450,0,13,5.3,62.5,0,5.1,1,4,
Bomb Launcher Waxed Frag,Base,BombLauncher,,TwoSpecialType,Special,Waxed Frag,Special / Waxed Frag,Medium Slot,160,110,50,174,5,60,0,13,5.3,25,0,5.1,1,4,Causes Intense Bleeding
